Order_ID,Order_Date,Customer_ID,Customer_City,Customer_State,Category,Sub_Category,Product_Name,Price,Quantity,Discount_Percentage,Payment_Method,Delivery_Type,Delivery_Days,Return_Status,Rating
F1071,2025-12-04,CUST390,Jeremymouth,Mississippi,Home,Kitchen,Teach,917,5,28,UPI,Express,7,No,1
F1072,2026-01-12,CUST623,Jamiefurt,Massachusetts,Home,Furniture,System,14324,4,14,UPI,Standard,2,No,5
F1073,2025-11-11,CUST767,Hillville,New Mexico,Fashion,Women Clothing,Pull,16532,3,29,Debit Card,Standard,6,No,4
F1074,2025-09-27,CUST815,Lake Melissahaven,Maine,Fashion,Women Clothing,Possible,4667,3,7,COD,Express,3,Yes,4
F1075,2026-01-27,CUST232,Guerreroshire,Mississippi,Grocery,Beverages,Two,27526,1,19,Credit Card,Express,6,Yes,3
F1076,2025-09-15,CUST897,East Carrie,Pennsylvania,Grocery,Beverages,Understand,58408,3,30,Debit Card,Express,6,No,3
F1077,2025-09-04,CUST380,New Jesse,Kansas,Beauty,Skincare,Development,45323,4,5,Credit Card,Express,6,Yes,5
F1078,2025-09-09,CUST701,West Kennethburgh,Rhode Island,Fashion,Women Clothing,Understand,59988,3,30,EMI,Standard,5,Yes,5
F1079,2025-11-12,CUST217,West Royland,Maine,Home,Kitchen,Certainly,35198,1,11,EMI,Express,2,No,4
F1080,2025-11-08,CUST676,New Jamesmouth,Delaware,Home,Kitchen,Local,34640,4,25,UPI,Standard,3,No,3
F1081,2026-02-06,CUST175,Webbchester,Colorado,Grocery,Beverages,People,42402,5,15,Debit Card,Express,6,No,1
F1082,2026-02-11,CUST159,East Jonathonhaven,Arkansas,Fashion,Women Clothing,Of,20033,2,27,UPI,Standard,6,No,5
F1083,2026-01-04,CUST801,North Bradley,Louisiana,Beauty,Makeup,Protect,32904,4,19,COD,Express,7,Yes,1
F1084,2026-02-06,CUST258,Andrewstad,Nevada,Grocery,Snacks,Him,7572,2,5,Debit Card,Standard,7,Yes,5
F1085,2025-09-08,CUST591,East Alicialand,North Dakota,Grocery,Beverages,Family,59352,3,7,Credit Card,Express,2,Yes,1
F1086,2025-11-16,CUST521,Port Katherinemouth,New Mexico,Fashion,Men Clothing,Again,24379,4,14,Debit Card,Express,7,No,1
F1087,2026-01-30,CUST891,Anneborough,California,Beauty,Skincare,Sense,53475,3,21,Credit Card,Standard,2,No,2
F1088,2025-11-23,CUST766,Port Gerald,New York,Home,Kitchen,Find,10913,5,22,Debit Card,Express,4,Yes,2
F1089,2025-10-14,CUST399,Cummingschester,Missouri,Electronics,Laptop,Area,33853,1,26,UPI,Standard,3,No,1
F1090,2025-10-21,CUST386,Christiantown,Colorado,Beauty,Skincare,Onto,57988,1,13,UPI,Express,5,Yes,4
F1091,2025-12-09,CUST407,Port Debbieville,Louisiana,Beauty,Makeup,Toward,32321,3,17,EMI,Express,5,No,2
F1092,2025-10-24,CUST122,New Jeremy,Kansas,Electronics,Laptop,Again,28809,3,24,Debit Card,Express,2,Yes,2
F1093,2025-09-28,CUST551,Donaldfort,Minnesota,Fashion,Women Clothing,Standard,16060,4,26,UPI,Standard,2,Yes,3
F1094,2025-11-20,CUST729,Teresatown,Idaho,Home,Kitchen,Lawyer,39519,5,5,EMI,Standard,7,No,3
F1095,2025-09-03,CUST192,Wilcoxbury,Arizona,Beauty,Skincare,Relationship,31568,1,14,COD,Standard,6,Yes,4
F1096,2026-01-15,CUST620,Port Samuel,Massachusetts,Beauty,Makeup,Capital,51662,4,5,Debit Card,Standard,2,No,5
F1097,2025-11-19,CUST478,Ryanberg,South Dakota,Home,Kitchen,Stage,32520,3,20,Debit Card,Standard,6,Yes,1
F1098,2025-11-23,CUST407,Schmidtshire,Oregon,Electronics,Accessories,General,7019,5,16,COD,Express,6,No,4
F1099,2025-11-17,CUST441,West Steven,Delaware,Home,Furniture,Family,8977,2,7,Debit Card,Express,5,Yes,2
F1100,2025-11-25,CUST502,Wheelertown,Arizona,Beauty,Makeup,Good,1004,1,17,Debit Card,Express,7,No,2
F1101,2025-09-26,CUST130,Cortezmouth,Indiana,Grocery,Snacks,Boy,12568,4,25,COD,Standard,7,No,1
F1102,2025-10-10,CUST234,West Ricardo,Vermont,Fashion,Men Clothing,Old,2873,2,15,Debit Card,Standard,6,No,2
F1103,2025-10-07,CUST415,Byrdborough,Alabama,Electronics,Mobile,Couple,30199,1,28,EMI,Express,6,No,1
F1104,2025-12-29,CUST919,Dillonfurt,Ohio,Home,Furniture,Name,51761,2,9,EMI,Standard,2,No,5
F1105,2026-01-23,CUST778,Port Lindatown,Washington,Electronics,Mobile,Head,5338,4,19,Debit Card,Standard,6,Yes,1
F1106,2025-12-24,CUST596,Port Elizabethhaven,Texas,Grocery,Snacks,Instead,13689,4,7,COD,Standard,2,Yes,4
F1107,2025-09-09,CUST611,Lake Kelly,Utah,Fashion,Women Clothing,Capital,39412,3,27,UPI,Express,2,Yes,2
F1108,2025-09-15,CUST741,Brianberg,New Hampshire,Home,Furniture,Morning,25713,2,26,COD,Standard,7,No,5
F1109,2025-09-27,CUST120,Ingramland,Indiana,Home,Kitchen,Friend,58843,1,14,Credit Card,Express,4,No,4
F1110,2026-02-06,CUST558,Griffinshire,Texas,Electronics,Mobile,Determine,6969,4,16,Debit Card,Express,5,Yes,3
F1111,2025-12-16,CUST913,North Sara,Florida,Grocery,Snacks,Land,22186,3,30,Debit Card,Standard,4,Yes,5
F1112,2025-12-31,CUST934,Jessicashire,Hawaii,Electronics,Laptop,Despite,15487,5,23,UPI,Express,6,Yes,1
F1113,2025-11-12,CUST593,West Jesus,North Dakota,Electronics,Accessories,Evidence,58728,1,19,Debit Card,Express,7,No,5
F1114,2025-09-10,CUST578,Matthewville,North Carolina,Grocery,Snacks,Feeling,27581,4,21,UPI,Express,4,Yes,5
F1115,2025-12-30,CUST580,Laurachester,Iowa,Home,Kitchen,Quality,36529,5,12,COD,Standard,2,No,2
F1116,2025-10-18,CUST242,Port Debbiestad,Indiana,Electronics,Mobile,Food,39574,3,29,Credit Card,Standard,4,Yes,1
F1117,2025-10-13,CUST372,West Robert,Kentucky,Beauty,Makeup,Decide,6861,1,13,EMI,Standard,7,Yes,1
F1118,2025-10-30,CUST195,Hallborough,South Carolina,Beauty,Makeup,Physical,41293,1,16,UPI,Standard,4,No,1
F1119,2025-09-20,CUST293,Bridgeshaven,Wisconsin,Home,Kitchen,Safe,36180,5,19,EMI,Standard,6,Yes,1
F1120,2025-12-24,CUST414,Farrellfurt,New Hampshire,Fashion,Women Clothing,Draw,8437,4,6,Debit Card,Express,2,Yes,2
F1121,2025-12-16,CUST560,Port Mary,Rhode Island,Grocery,Snacks,Off,6613,5,13,Debit Card,Standard,4,No,1
F1122,2025-09-17,CUST708,Brownberg,Washington,Electronics,Laptop,Such,52841,5,8,Debit Card,Standard,3,No,1
F1123,2025-08-22,CUST904,East Dave,Kentucky,Fashion,Women Clothing,Across,13202,3,18,COD,Standard,2,No,4
F1124,2026-01-18,CUST535,Campbellport,Virginia,Grocery,Beverages,Onto,15127,5,11,Debit Card,Express,7,No,1
F1125,2026-02-11,CUST995,South Erikaview,Iowa,Electronics,Mobile,Democratic,2898,3,24,EMI,Express,7,Yes,3
F1126,2026-01-31,CUST116,North Steventown,Maine,Electronics,Accessories,Game,30135,4,22,COD,Express,2,No,5
F1127,2025-12-14,CUST937,Robinsonville,Hawaii,Home,Kitchen,Risk,51269,2,10,Debit Card,Express,4,No,4
F1128,2025-11-24,CUST296,Danielside,Delaware,Beauty,Makeup,Wonder,21112,3,30,UPI,Standard,3,Yes,2
F1129,2025-11-22,CUST471,Henrymouth,Montana,Home,Kitchen,Factor,43646,2,13,EMI,Express,7,Yes,1
F1130,2026-02-07,CUST991,Conleyland,Pennsylvania,Grocery,Beverages,Through,37518,5,28,COD,Standard,2,No,5
F1131,2025-11-20,CUST527,Johnsonhaven,Massachusetts,Beauty,Skincare,Teach,12493,3,5,Credit Card,Express,5,Yes,3
F1132,2025-12-15,CUST704,Jackchester,Arizona,Home,Furniture,Republican,2594,4,5,Credit Card,Standard,4,No,1
F1133,2026-02-10,CUST746,Blakefurt,Maryland,Fashion,Women Clothing,This,8878,5,11,Credit Card,Express,6,No,5
F1134,2025-09-10,CUST404,East Donald,Kansas,Electronics,Mobile,Your,19130,4,14,EMI,Express,6,No,5
F1135,2026-02-01,CUST143,North Tyrone,New Jersey,Beauty,Makeup,Free,13232,4,13,EMI,Standard,6,No,4
F1136,2025-10-08,CUST191,Port Robert,Virginia,Electronics,Mobile,Stand,24067,4,14,COD,Standard,2,No,1
F1137,2025-08-26,CUST537,Lisafurt,Oklahoma,Electronics,Accessories,Provide,6630,2,26,Credit Card,Express,6,No,3
F1138,2026-01-22,CUST334,Juliemouth,Utah,Fashion,Women Clothing,Involve,42333,1,26,COD,Express,7,Yes,3
F1139,2025-12-26,CUST652,Lauriechester,New Mexico,Electronics,Mobile,Outside,11679,1,7,Credit Card,Express,6,No,5
F1140,2025-10-24,CUST676,South Ernest,Kentucky,Home,Kitchen,Major,16957,3,16,COD,Express,4,No,5
F1141,2025-09-03,CUST455,Harrisonborough,Oregon,Electronics,Accessories,Small,7754,2,15,Debit Card,Express,4,No,2
F1142,2025-12-26,CUST987,New Jamieville,Maine,Electronics,Laptop,Short,9432,5,15,COD,Express,6,Yes,2
F1143,2025-10-30,CUST862,Port Damon,Hawaii,Home,Furniture,Data,16585,2,29,Debit Card,Express,2,No,2
F1144,2026-01-26,CUST203,Martinland,New Mexico,Home,Kitchen,Deal,59125,5,9,COD,Express,3,Yes,1
F1145,2025-11-12,CUST710,Jameschester,Ohio,Grocery,Beverages,Continue,2600,2,25,Debit Card,Express,6,No,3
F1146,2026-02-19,CUST400,Hostad,South Carolina,Electronics,Accessories,Particularly,48982,1,16,UPI,Express,5,No,1
F1147,2025-10-02,CUST292,New Josetown,Virginia,Beauty,Skincare,Knowledge,55673,2,26,COD,Standard,4,Yes,4
F1148,2026-02-16,CUST732,North Samanthafurt,Maine,Home,Kitchen,Together,6547,5,19,Credit Card,Standard,6,No,3
F1149,2026-01-03,CUST244,Beckshire,Montana,Fashion,Men Clothing,Benefit,41376,1,13,EMI,Express,4,No,2
F1150,2026-01-15,CUST451,East Brian,Ohio,Beauty,Skincare,Trip,8009,3,21,UPI,Express,3,Yes,4
F1151,2026-01-04,CUST308,Amystad,North Carolina,Beauty,Skincare,Operation,6469,4,15,Credit Card,Standard,6,Yes,3
F1152,2026-02-11,CUST256,Donnachester,North Dakota,Beauty,Makeup,Final,55965,5,24,Debit Card,Standard,2,Yes,1
F1153,2025-10-18,CUST213,New Karen,Rhode Island,Grocery,Snacks,Many,32952,4,30,EMI,Express,2,Yes,4
F1154,2025-10-20,CUST192,Lake Olivia,Pennsylvania,Electronics,Mobile,Quality,55604,2,28,Credit Card,Express,7,Yes,1
F1155,2025-10-01,CUST465,Geraldton,Maine,Home,Kitchen,Other,58654,2,14,Debit Card,Standard,7,Yes,3
F1156,2025-12-03,CUST770,Robertport,Kentucky,Grocery,Snacks,Miss,58843,2,13,UPI,Express,3,Yes,5
F1157,2025-12-09,CUST938,Christinemouth,Maine,Fashion,Women Clothing,Available,37444,5,15,COD,Express,3,No,1
F1158,2025-10-29,CUST714,Ritafurt,Georgia,Beauty,Makeup,Write,58468,5,30,UPI,Standard,5,No,5
F1159,2025-09-10,CUST640,Mcdonaldside,Georgia,Fashion,Men Clothing,Attorney,2411,2,30,UPI,Standard,5,No,1
F1160,2025-10-28,CUST768,East Ginamouth,New Hampshire,Grocery,Beverages,Late,14122,2,28,EMI,Express,7,Yes,4
F1161,2025-12-02,CUST831,South Taylor,South Carolina,Fashion,Women Clothing,Beyond,29003,4,13,Credit Card,Express,5,Yes,3
F1162,2026-01-10,CUST580,Lake Tanya,Ohio,Fashion,Men Clothing,Indicate,6720,1,6,COD,Express,6,No,3
F1163,2025-12-10,CUST448,Tinabury,Rhode Island,Beauty,Skincare,Environment,38009,3,8,Debit Card,Express,5,No,2
F1164,2025-09-01,CUST921,Port Catherine,New Jersey,Grocery,Beverages,Morning,29812,1,8,Credit Card,Express,4,Yes,2
F1165,2025-12-10,CUST517,Medinaberg,Virginia,Fashion,Women Clothing,Significant,23028,1,6,Debit Card,Standard,7,No,5
F1166,2025-09-02,CUST233,Jesusshire,Colorado,Fashion,Men Clothing,Miss,23183,3,19,Credit Card,Standard,7,Yes,2
F1167,2025-12-16,CUST908,North John,Nevada,Home,Kitchen,Role,31754,5,6,COD,Standard,6,No,2
F1168,2026-01-17,CUST496,New Alyssa,Wyoming,Fashion,Men Clothing,Wait,32386,1,13,Debit Card,Express,6,No,4
F1169,2025-09-18,CUST104,Barajastown,New York,Beauty,Skincare,Once,21463,2,16,Debit Card,Standard,2,Yes,5
F1170,2025-11-18,CUST170,Brendachester,Kansas,Fashion,Men Clothing,Ok,49911,4,30,Debit Card,Express,6,Yes,4
F1171,2025-12-18,CUST846,Port Samuel,North Carolina,Grocery,Snacks,Modern,56468,2,12,Debit Card,Standard,7,No,1
F1172,2026-01-06,CUST763,Cherylside,California,Grocery,Beverages,Leader,58181,3,13,EMI,Standard,5,Yes,5
F1173,2025-09-20,CUST891,Lake Austinstad,Florida,Grocery,Beverages,Think,40107,2,13,COD,Express,6,Yes,2
F1174,2026-02-07,CUST306,East Monicaburgh,Maryland,Grocery,Beverages,News,37243,5,8,Debit Card,Standard,4,No,4
F1175,2025-10-03,CUST963,Lake Toddborough,Connecticut,Fashion,Women Clothing,Probably,50445,2,25,Debit Card,Express,5,No,5
F1176,2025-12-13,CUST695,New Cherylshire,Texas,Beauty,Skincare,Challenge,3179,3,11,Credit Card,Express,3,No,2
F1177,2026-01-07,CUST765,North Ericaborough,South Dakota,Home,Furniture,Future,36849,3,5,Credit Card,Standard,6,No,2
F1178,2026-02-08,CUST160,Stephenmouth,Missouri,Beauty,Makeup,Customer,14570,2,30,Debit Card,Standard,2,No,3
F1179,2025-10-30,CUST274,Robertland,Maryland,Home,Kitchen,Rich,52010,4,8,UPI,Express,3,No,1
F1180,2026-01-13,CUST330,Masonburgh,Maine,Home,Furniture,President,39165,1,24,Credit Card,Express,7,No,5
F1181,2025-10-13,CUST897,Lake Katrina,New Jersey,Home,Furniture,Long,42029,3,22,Debit Card,Express,7,No,1
F1182,2026-02-02,CUST100,South Justinchester,Connecticut,Fashion,Women Clothing,Citizen,14246,3,19,Debit Card,Express,7,No,2
F1183,2025-12-24,CUST179,New Diana,Connecticut,Fashion,Men Clothing,New,1068,4,13,Debit Card,Standard,2,No,5
F1184,2025-11-30,CUST829,East Barbara,North Carolina,Fashion,Men Clothing,Past,13008,4,16,Credit Card,Standard,7,No,5
F1185,2025-10-20,CUST490,Port Kevin,Maine,Beauty,Skincare,Operation,34048,3,17,COD,Standard,4,No,4
F1186,2026-01-24,CUST785,South Meredithburgh,Missouri,Home,Kitchen,Family,33289,5,10,COD,Standard,3,No,5
F1187,2026-02-07,CUST154,East Nicoleburgh,Iowa,Beauty,Makeup,Article,26946,1,17,EMI,Standard,2,Yes,4
F1188,2026-02-11,CUST314,Brandonmouth,Utah,Beauty,Makeup,Citizen,43585,3,8,EMI,Standard,4,Yes,5
F1189,2025-10-31,CUST894,West Robertport,Washington,Fashion,Men Clothing,Serve,16803,2,28,COD,Express,3,Yes,2
F1190,2026-01-01,CUST621,Nelsonfort,South Dakota,Electronics,Accessories,Give,55327,4,16,EMI,Standard,2,Yes,3
F1191,2025-10-14,CUST449,Lake Alexander,Rhode Island,Home,Kitchen,Ready,22483,1,30,EMI,Express,4,No,4
F1192,2026-02-15,CUST191,Port Jordan,Colorado,Grocery,Beverages,Region,31919,2,17,EMI,Standard,7,Yes,1
F1193,2025-09-04,CUST315,South Jeremymouth,Tennessee,Electronics,Mobile,Environment,11816,4,20,UPI,Standard,2,No,1
F1194,2025-09-06,CUST604,West Jamesshire,Alabama,Grocery,Snacks,Fight,59455,5,6,COD,Standard,4,Yes,1
F1195,2025-10-22,CUST105,South Davidland,Nevada,Beauty,Skincare,Food,25037,2,6,EMI,Standard,4,Yes,3
F1196,2025-11-06,CUST763,Odomland,Michigan,Fashion,Men Clothing,Easy,7583,1,11,COD,Standard,6,Yes,3
F1197,2025-11-09,CUST410,North Nina,Missouri,Home,Kitchen,Thing,6770,5,7,COD,Standard,4,No,5
F1198,2026-02-18,CUST437,Lake Sandraville,Oklahoma,Electronics,Accessories,Call,53781,3,9,Credit Card,Standard,2,Yes,3
F1199,2025-11-28,CUST340,Christinehaven,Tennessee,Grocery,Snacks,Strategy,31382,2,8,COD,Standard,6,Yes,4
F1200,2025-11-05,CUST824,South Gregory,West Virginia,Grocery,Beverages,Apply,38170,5,26,Credit Card,Express,4,Yes,2
F1201,2026-01-16,CUST383,East Rachelfurt,West Virginia,Home,Furniture,Outside,33771,2,28,Credit Card,Express,4,No,3
F1202,2025-11-06,CUST332,Williamport,Florida,Beauty,Makeup,Near,34295,2,30,EMI,Standard,6,Yes,2
F1203,2026-02-11,CUST744,Porterberg,Wyoming,Fashion,Women Clothing,Soldier,27863,1,15,EMI,Express,6,No,3
F1204,2025-09-18,CUST610,Danbury,Wyoming,Grocery,Snacks,Despite,40225,1,9,Debit Card,Standard,5,Yes,3
F1205,2025-10-09,CUST530,New Joshua,Pennsylvania,Electronics,Mobile,Read,56078,1,29,Debit Card,Express,5,No,3
F1206,2025-10-21,CUST209,Hawkinsmouth,North Dakota,Beauty,Makeup,Change,27092,2,20,EMI,Standard,7,Yes,2
F1207,2026-02-05,CUST289,Davidchester,Missouri,Electronics,Mobile,Hair,56199,5,12,EMI,Standard,7,No,3
F1208,2026-02-04,CUST996,West Ricardostad,Texas,Electronics,Laptop,Look,40190,2,23,UPI,Standard,2,Yes,5
F1209,2025-08-25,CUST732,North Jenna,North Dakota,Fashion,Men Clothing,Sort,2788,4,21,Debit Card,Express,5,No,4
F1210,2025-11-24,CUST225,Martinberg,Pennsylvania,Home,Furniture,Energy,28289,2,30,UPI,Standard,3,No,5
F1211,2026-02-02,CUST380,Davidstad,Virginia,Home,Furniture,Sign,36682,3,18,UPI,Express,6,No,2
F1212,2025-11-17,CUST156,Maysmouth,Washington,Beauty,Makeup,Structure,16365,4,14,EMI,Express,4,No,3
F1213,2026-01-09,CUST738,Lake Catherinestad,Kentucky,Home,Kitchen,Human,59734,5,28,Credit Card,Express,2,Yes,4
F1214,2025-10-01,CUST673,Port Hannah,Colorado,Beauty,Makeup,School,30630,1,18,EMI,Standard,5,No,3
